datetime,day_o_week,time_in_trade,imp_wick,long,short,buy_open,buy_close,sell_open,sell_close,pnl,pnl_ac,cr,cr_ac,pnl_plus,cr_plus
2024-02-08 19:45:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 20:00:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 20:15:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 20:30:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 20:45:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 21:00:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 21:15:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 21:30:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 21:45:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 22:00:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 22:15:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 22:30:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 22:45:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 23:00:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 23:15:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 23:30:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-08 23:45:00,3,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 00:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 00:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 00:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 00:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 01:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 01:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 01:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 01:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 02:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 02:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 02:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 02:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 03:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 03:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 03:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 03:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 04:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 04:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 04:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 04:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 05:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 05:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 05:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 05:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 06:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 06:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 06:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 06:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 07:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 07:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 07:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 07:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 08:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 08:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 08:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 08:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 09:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 09:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 09:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 09:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 10:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 10:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 10:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 10:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 11:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 11:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 11:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 11:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 12:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 12:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 12:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 12:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 13:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 13:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 13:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 13:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 14:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 14:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 14:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 14:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 15:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 15:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 15:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 15:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 16:00:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 16:15:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 16:30:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-09 16:45:00,4,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 18:00:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 18:15:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 18:30:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 18:45:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 19:00:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 19:15:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 19:30:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 19:45:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 20:00:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 20:15:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 20:30:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 20:45:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 21:00:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 21:15:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 21:30:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 21:45:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 22:00:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 22:15:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 22:30:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 22:45:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 23:00:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 23:15:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 23:30:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-11 23:45:00,6,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 00:00:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 00:15:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 00:30:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 00:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 01:00:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 01:15:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 01:30:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 01:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 02:00:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 02:15:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 02:30:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 02:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 03:00:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 03:15:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 03:30:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 03:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 04:00:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 04:15:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 04:30:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 04:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 05:00:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 05:15:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 05:30:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 05:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 06:00:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 06:15:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 06:30:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 06:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 07:00:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 07:15:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 07:30:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 07:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 08:00:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 08:15:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 08:30:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 08:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 09:00:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 09:15:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 09:30:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 09:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 10:00:00,0,1,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 10:15:00,0,2,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 10:30:00,0,3,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 10:45:00,0,4,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 11:00:00,0,5,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 11:15:00,0,6,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 11:30:00,0,7,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 11:45:00,0,8,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 12:00:00,0,9,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 12:15:00,0,10,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 12:30:00,0,11,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 12:45:00,0,12,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 13:00:00,0,13,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 13:15:00,0,14,0,2.0722222801226136,0.0,49140,0.0,0,0.0,0.0,0.0,1.0235234428766167,1.0223234428766166,0.0,1.0226859349955826
2024-02-12 13:30:00,0,0,0,0.0,0.0,49140,49941.8,0,0.0,0.016316646316646376,0.015916646316646375,1.039840089193263,1.038240089193263,0.016525300291452556,1.039211235287035
2024-02-12 13:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.039840089193263,1.038240089193263,0.0,1.039211235287035
2024-02-12 14:00:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.039840089193263,1.038240089193263,0.0,1.039211235287035
2024-02-12 14:15:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.039840089193263,1.038240089193263,0.0,1.039211235287035
2024-02-12 14:30:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.039840089193263,1.038240089193263,0.0,1.039211235287035
2024-02-12 14:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.039840089193263,1.038240089193263,0.0,1.039211235287035
2024-02-12 15:00:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.039840089193263,1.038240089193263,0.0,1.039211235287035
2024-02-12 15:15:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.039840089193263,1.038240089193263,0.0,1.039211235287035
2024-02-12 15:30:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.039840089193263,1.038240089193263,0.0,1.039211235287035
2024-02-12 15:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.039840089193263,1.038240089193263,0.0,1.039211235287035
2024-02-12 16:00:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.039840089193263,1.038240089193263,0.0,1.039211235287035
2024-02-12 16:15:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.039840089193263,1.038240089193263,0.0,1.039211235287035
2024-02-12 16:30:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.039840089193263,1.038240089193263,0.0,1.039211235287035
2024-02-12 16:45:00,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.039840089193263,1.038240089193263,0.0,1.039211235287035
